Date,Close,Volume,Open,High,Low
7/22/2021,$2.66 ,1138487,$2.70 ,$2.70 ,$2.59 
7/21/2021,$2.67 ,1752072,$2.67 ,$2.79 ,$2.67 
7/20/2021,$2.57 ,2328907,$2.60 ,$2.71 ,$2.55 
7/19/2021,$2.49 ,3779974,$2.41 ,$2.54 ,$2.35 
7/16/2021,$2.49 ,2964423,$2.69 ,$2.72 ,$2.48 
7/15/2021,$2.67 ,1991747,$2.70 ,$2.79 ,$2.62 
7/14/2021,$2.76 ,3140536,$2.83 ,$2.88 ,$2.69 
7/13/2021,$2.80 ,1243928,$2.84 ,$2.89 ,$2.77 
7/12/2021,$2.87 ,1317258,$2.84 ,$2.90 ,$2.77 
7/9/2021,$2.88 ,1401054,$2.88 ,$2.93 ,$2.79 
7/8/2021,$2.78 ,2432534,$2.65 ,$2.89 ,$2.60 
7/7/2021,$2.74 ,3278911,$2.95 ,$3.02 ,$2.67 
7/6/2021,$2.96 ,3377741,$3.16 ,$3.17 ,$2.87 
7/2/2021,$3.09 ,2278238,$3.24 ,$3.27 ,$3.07 
7/1/2021,$3.24 ,5512280,$3.05 ,$3.32 ,$3.05 
6/30/2021,$2.98 ,1620856,$2.99 ,$3.03 ,$2.90 
6/29/2021,$2.94 ,2641242,$3.01 ,$3.14 ,$2.92 
6/28/2021,$3.01 ,2994345,$3.16 ,$3.19 ,$2.91 
6/25/2021,$3.15 ,4377490,$3.02 ,$3.15 ,$2.94 
6/24/2021,$2.98 ,3066174,$3.04 ,$3.12 ,$2.95 
6/23/2021,$3 ,3069279,$3 ,$3.12 ,$2.96 
6/22/2021,$2.97 ,2286042,$3 ,$3 ,$2.83 
6/21/2021,$2.92 ,3260761,$2.72 ,$2.95 ,$2.69 
6/18/2021,$2.68 ,2345252,$2.73 ,$2.83 ,$2.66 
6/17/2021,$2.79 ,4210355,$3 ,$3.05 ,$2.65 
6/16/2021,$3.05 ,4314588,$3.01 ,$3.11 ,$2.94 
6/15/2021,$2.94 ,3635895,$2.76 ,$2.95 ,$2.72 
6/14/2021,$2.64 ,2742178,$2.70 ,$2.87 ,$2.64 
6/11/2021,$2.63 ,2214801,$2.51 ,$2.70 ,$2.49 
6/10/2021,$2.48 ,2193247,$2.59 ,$2.64 ,$2.42 
6/9/2021,$2.58 ,1400203,$2.65 ,$2.67 ,$2.54 
6/8/2021,$2.60 ,2813015,$2.56 ,$2.66 ,$2.46 
6/7/2021,$2.55 ,2836156,$2.69 ,$2.79 ,$2.54 
6/4/2021,$2.73 ,2204910,$2.73 ,$2.84 ,$2.64 
6/3/2021,$2.71 ,2430428,$2.74 ,$2.83 ,$2.61 
6/2/2021,$2.75 ,6595369,$2.60 ,$2.88 ,$2.60 
6/1/2021,$2.58 ,7728561,$2.35 ,$2.66 ,$2.33 
5/28/2021,$2.25 ,2128823,$2.24 ,$2.33 ,$2.23 
5/27/2021,$2.22 ,1712245,$2.17 ,$2.24 ,$2.14 
5/26/2021,$2.16 ,1171223,$2.08 ,$2.17 ,$2.08 
5/25/2021,$2.08 ,2239128,$2.16 ,$2.18 ,$2.07 
5/24/2021,$2.18 ,2470418,$2.22 ,$2.24 ,$2.08 
5/21/2021,$2.22 ,1120211,$2.27 ,$2.32 ,$2.21 
5/20/2021,$2.20 ,1550735,$2.25 ,$2.28 ,$2.17 
5/19/2021,$2.29 ,1933910,$2.24 ,$2.35 ,$2.18 
5/18/2021,$2.36 ,4709502,$2.36 ,$2.51 ,$2.34 
5/17/2021,$2.37 ,2362791,$2.21 ,$2.38 ,$2.20 
5/14/2021,$2.19 ,1392509,$2.11 ,$2.22 ,$2.10 
5/13/2021,$2.11 ,2726707,$2.25 ,$2.30 ,$2.02 
5/12/2021,$2.25 ,4332887,$2.25 ,$2.43 ,$2.20 
5/11/2021,$2.25 ,1198760,$2.20 ,$2.28 ,$2.14 
5/10/2021,$2.26 ,2235565,$2.30 ,$2.38 ,$2.21 
5/7/2021,$2.24 ,1415787,$2.16 ,$2.28 ,$2.13 
5/6/2021,$2.18 ,1658104,$2.25 ,$2.27 ,$2.11 
5/5/2021,$2.25 ,910853,$2.25 ,$2.39 ,$2.18 
5/4/2021,$2.23 ,1656656,$2.15 ,$2.24 ,$2.04 
5/3/2021,$2.14 ,956029,$2.17 ,$2.19 ,$2.11 
4/30/2021,$2.15 ,1565593,$2.20 ,$2.29 ,$2.11 
4/29/2021,$2.23 ,2632228,$2.47 ,$2.47 ,$2.15 
4/28/2021,$2.22 ,2207516,$2.06 ,$2.26 ,$2.06 
4/27/2021,$2.06 ,1674620,$2 ,$2.09 ,$1.97 
4/26/2021,$1.99 ,1724556,$1.92 ,$2.03 ,$1.92 
4/23/2021,$1.97 ,1277672,$1.92 ,$2.02 ,$1.91 
4/22/2021,$1.92 ,1277175,$2.01 ,$2.02 ,$1.92 
4/21/2021,$2 ,1947296,$1.95 ,$2.03 ,$1.85 
4/20/2021,$1.98 ,3883963,$2.20 ,$2.20 ,$1.91 
4/19/2021,$2.18 ,1693350,$2.14 ,$2.24 ,$2.11 
4/16/2021,$2.15 ,1845458,$2.32 ,$2.32 ,$2.12 
4/15/2021,$2.29 ,2562522,$2.29 ,$2.35 ,$2.12 
4/14/2021,$2.25 ,3264308,$2.10 ,$2.38 ,$2.10 
4/13/2021,$2.11 ,3222339,$2.14 ,$2.18 ,$2.04 
4/12/2021,$2.19 ,3856089,$2.20 ,$2.23 ,$2.07 
4/9/2021,$2.20 ,2010747,$2.23 ,$2.27 ,$2.15 
4/8/2021,$2.26 ,1881553,$2.24 ,$2.27 ,$2.17 
4/7/2021,$2.29 ,1976088,$2.33 ,$2.35 ,$2.23 
4/6/2021,$2.36 ,2262341,$2.35 ,$2.47 ,$2.31 
4/5/2021,$2.35 ,1972340,$2.47 ,$2.47 ,$2.31 
4/1/2021,$2.45 ,3484072,$2.33 ,$2.53 ,$2.28 
3/31/2021,$2.31 ,2342399,$2.35 ,$2.44 ,$2.28 
3/30/2021,$2.35 ,2280529,$2.27 ,$2.41 ,$2.17 
3/29/2021,$2.30 ,2647808,$2.49 ,$2.51 ,$2.28 
3/26/2021,$2.48 ,2711050,$2.49 ,$2.59 ,$2.38 
3/25/2021,$2.41 ,4884205,$2.40 ,$2.47 ,$2.24 
3/24/2021,$2.59 ,7503378,$2.55 ,$2.78 ,$2.48 
3/23/2021,$2.44 ,4062148,$2.66 ,$2.72 ,$2.42 
3/22/2021,$2.79 ,2480852,$2.77 ,$2.83 ,$2.66 
3/19/2021,$2.83 ,5009566,$2.62 ,$2.97 ,$2.61 
3/18/2021,$2.58 ,5031696,$2.93 ,$2.95 ,$2.55 
3/17/2021,$2.96 ,4805374,$2.84 ,$3.09 ,$2.63 
3/16/2021,$2.99 ,9495733,$3.35 ,$3.36 ,$2.90 
3/15/2021,$3.21 ,6363412,$3.03 ,$3.30 ,$2.92 
3/12/2021,$2.96 ,4614452,$2.88 ,$3.12 ,$2.86 
3/11/2021,$2.96 ,10712980,$2.73 ,$3.10 ,$2.66 
3/10/2021,$2.65 ,6116647,$2.46 ,$2.72 ,$2.42 
3/9/2021,$2.51 ,5145451,$2.63 ,$2.63 ,$2.42 
3/8/2021,$2.62 ,8345713,$2.72 ,$2.77 ,$2.41 
3/5/2021,$2.55 ,16379070,$2.63 ,$2.84 ,$2.33 
3/4/2021,$2.50 ,15662210,$2.18 ,$2.54 ,$2.12 
3/3/2021,$2.16 ,4657104,$2.20 ,$2.27 ,$2.07 
3/2/2021,$2.16 ,5304705,$2.35 ,$2.35 ,$2.12 
3/1/2021,$2.24 ,6562730,$2.32 ,$2.45 ,$2.18 
2/26/2021,$2.22 ,6670253,$2.25 ,$2.41 ,$2.15 
2/25/2021,$2.45 ,11374000,$2.57 ,$2.69 ,$2.30 
2/24/2021,$2.70 ,34110360,$2.04 ,$2.85 ,$2.01 
2/23/2021,$2.06 ,5022983,$2.14 ,$2.18 ,$1.90 
2/22/2021,$2.21 ,9361086,$2.01 ,$2.27 ,$2.00 
2/19/2021,$1.96 ,2915829,$1.95 ,$1.99 ,$1.88 
2/18/2021,$1.95 ,5247218,$2.04 ,$2.05 ,$1.83 
2/17/2021,$2.08 ,3590585,$2.08 ,$2.12 ,$1.96 
2/16/2021,$2.12 ,6520491,$2.20 ,$2.25 ,$2.01 
2/12/2021,$2.11 ,6051734,$2.08 ,$2.13 ,$1.93 
2/11/2021,$2.13 ,9711534,$2.20 ,$2.21 ,$1.90 
2/10/2021,$2.14 ,10069540,$2.35 ,$2.35 ,$2.10 
2/9/2021,$2.14 ,18280840,$2.22 ,$2.40 ,$1.90 
2/8/2021,$2.30 ,36028180,$2.01 ,$2.39 ,$1.86 
2/5/2021,$1.63 ,12495930,$1.43 ,$1.75 ,$1.40 
2/4/2021,$1.37 ,6572160,$1.40 ,$1.42 ,$1.33 
2/3/2021,$1.29 ,6750183,$1.23 ,$1.39 ,$1.20 
2/2/2021,$1.19 ,4048672,$1.21 ,$1.24 ,$1.14 
2/1/2021,$1.17 ,3497099,$1.15 ,$1.18 ,$1.07 
1/29/2021,$1.12 ,7282657,$1.26 ,$1.28 ,$1.07 
1/28/2021,$1.16 ,14327820,$1.02 ,$1.25 ,$1.01 
1/27/2021,$1.02 ,5936624,$1.01 ,$1.08 ,$0.93 
1/26/2021,$1.05 ,3093341,$1.11 ,$1.13 ,$1.04 
1/25/2021,$1.08 ,3770397,$1.03 ,$1.08 ,$1 
1/22/2021,$1.04 ,2688303,$1.02 ,$1.06 ,$1 
1/21/2021,$1.06 ,2691897,$1.06 ,$1.08 ,$1.02 
1/20/2021,$1.09 ,2678314,$1.14 ,$1.14 ,$1.01 
1/19/2021,$1.08 ,3294972,$1.02 ,$1.09 ,$1.01 
1/15/2021,$1.02 ,4398278,$1.10 ,$1.10 ,$1 
1/14/2021,$1.12 ,3685130,$1.14 ,$1.14 ,$1.07 
1/13/2021,$1.14 ,4824520,$1.24 ,$1.24 ,$1.11 
1/12/2021,$1.15 ,4982688,$1.16 ,$1.20 ,$1.11 
1/11/2021,$1.10 ,5357401,$1.08 ,$1.14 ,$1.04 
1/8/2021,$1.07 ,11037900,$1.14 ,$1.18 ,$1 
1/7/2021,$0.93 ,10605210,$0.87 ,$0.97 ,$0.82 
1/6/2021,$0.82 ,13189810,$0.75 ,$0.88 ,$0.70 
1/5/2021,$0.73 ,3224918,$0.68 ,$0.74 ,$0.67 
1/4/2021,$0.67 ,1607135,$0.66 ,$0.68 ,$0.63 
12/31/2020,$0.66 ,2379206,$0.67 ,$0.68 ,$0.65 
12/30/2020,$0.67 ,3017129,$0.65 ,$0.68 ,$0.62 
12/29/2020,$0.65 ,3120456,$0.70 ,$0.70 ,$0.61 
12/28/2020,$0.68 ,2022037,$0.73 ,$0.73 ,$0.67 
12/24/2020,$0.71 ,896410,$0.75 ,$0.75 ,$0.70 
12/23/2020,$0.72 ,2456827,$0.70 ,$0.76 ,$0.70 
12/22/2020,$0.70 ,1548514,$0.72 ,$0.72 ,$0.69 
12/21/2020,$0.72 ,2267688,$0.69 ,$0.72 ,$0.65 
12/18/2020,$0.71 ,1452540,$0.74 ,$0.75 ,$0.71 
12/17/2020,$0.73 ,1890882,$0.75 ,$0.78 ,$0.71 
12/16/2020,$0.72 ,1937699,$0.73 ,$0.75 ,$0.71 
12/15/2020,$0.74 ,6703630,$0.81 ,$0.81 ,$0.69 
12/14/2020,$0.80 ,2078156,$0.85 ,$0.85 ,$0.78 
12/11/2020,$0.81 ,2202282,$0.85 ,$0.85 ,$0.78 
12/10/2020,$0.81 ,2946325,$0.77 ,$0.85 ,$0.75 
12/9/2020,$0.77 ,3796758,$0.77 ,$0.83 ,$0.76 
12/8/2020,$0.75 ,2293322,$0.76 ,$0.77 ,$0.72 
12/7/2020,$0.72 ,3720969,$0.73 ,$0.81 ,$0.70 
12/4/2020,$0.72 ,2882416,$0.66 ,$0.73 ,$0.66 
12/3/2020,$0.67 ,1677042,$0.64 ,$0.68 ,$0.64 
12/2/2020,$0.66 ,1920664,$0.63 ,$0.68 ,$0.61 
12/1/2020,$0.63 ,1693522,$0.66 ,$0.66 ,$0.61 
11/30/2020,$0.63 ,2672660,$0.71 ,$0.71 ,$0.62 
