day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9861441300422105,1,1,1,5.044922968398253,11.41,16116.974271242942,11829.6,982.7046637191934,7570.25
2,0.9865505097206791,1,1,1,5.061363107402222,11.85,16171.999924779398,11226.0,983.3445987991147,7660.180176
3,0.987108834184512,1,1,1,5.08237171531492,11.8,16181.15224196756,11332.7,983.9011089224969,7642.669922
4,0.9886979446931294,1,1,1,5.149452541661182,11.43,16269.964285163715,11167.4,1013.8188629754176,7654.549805
5,0.9906501862716953,1,1,1,5.185821208491032,11.34,16368.933001074345,11384.4,1021.2178894355542,7622.319824
6,0.9910946396329439,1,1,1,5.2231736583715165,10.56,16488.290162764533,12622.1,1035.7217186890794,7523.259766
7,0.9910946396329439,1,1,1,5.2589701865847225,10.44,16527.6174005827,13025.0,1057.5904121389358,7453.169922
8,0.9930490754011847,1,1,1,5.3099180361903,10.98,16591.854122395205,11924.8,1092.7765749569446,7430.259766
9,0.9945360712505706,1,1,1,5.360249562060663,11.23,16669.570339889622,11368.1,1102.3826401589954,7447.680176
10,0.9964478881881954,1,1,1,5.35721617286832,11.51,16749.216088102465,11686.5,1111.7436779884315,7507.870117
11,0.9966930118599016,1,1,1,5.349726299106941,11.19,16794.38472641074,11374.2,1112.0171641341447,7488.060059
12,0.9985368768471344,1,1,1,5.406818221643111,11.27,16894.457410999596,10036.4,1122.1712404995003,7561.689941
13,0.9988700994666682,1,1,1,5.406879946504069,11.21,16900.0952752434,10792.9,1130.6465656274788,7545.5
14,1.0033504389742776,1,1,1,5.468988580336795,11.41,17114.686756723324,9283.5,1156.2639221749193,7434.72998
15,1.005249488238804,1,1,1,5.531870597531388,11.54,17224.609325923153,9777.4,1172.063482509754,7494.399902
16,1.0016267240987784,1,1,1,5.577513960276933,11.1,17162.53449005208,10594.8,1185.8921940394168,7490.319824
17,1.0020503831264524,1,1,1,5.620712844827331,11.09,17292.305756185873,10544.6,1197.7081918844758,7569.029785
18,1.0020503831264524,1,1,1,5.697751896901268,11.09,17316.590215314893,10754.4,1218.3877586302451,7531.069824
19,1.003391783686642,1,1,1,5.747933946218009,10.48,17451.5583454136,10727.8,1233.160894765317,7548.75
20,1.000372092274212,1,1,1,5.7863515683117255,10.01,17505.866175982017,10326.5,1241.2280461615244,7563.189941
21,1.001829271324801,1,1,1,5.833476798696735,9.86,17611.396199389863,9647.7,1246.7178186551887,7563.089844
22,0.9971729637949011,1,1,1,5.885493065501127,9.91,17577.720695083288,10127.0,1243.4701377203835,7629.569824
23,0.9985942514047461,1,1,1,5.909729626006321,10.65,17663.528179993642,9756.4,1265.4407748790024,7627.649902
24,1.0000044088341813,1,1,1,5.9574914339095075,8.72,17798.03442654159,10156.1,1268.726684480911,7645.450195
