day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9865880350185963,1,1,1,5.0193647347609875,11.41,16096.252888791792,11829.6,997.9578922050246,7570.25
2,0.9563093014343698,1,1,1,5.067726720534938,11.85,15618.114026756755,11226.0,1007.1913704355849,7660.180176
3,0.9528753183915831,1,1,1,5.104546988329749,11.8,15562.03139883737,11332.7,1009.9460161352754,7642.669922
4,0.9493206732982822,1,1,1,5.124086229401327,11.43,15550.137027035293,11167.4,1012.110570353195,7654.549805
5,0.9535974959798069,1,1,1,4.930227426174242,11.34,15666.618848861784,11384.4,1054.8076245994305,7622.319824
6,0.9535974959798069,1,1,1,4.948982762907678,10.56,15710.53247517947,12622.1,1068.908696688501,7523.259766
7,0.9577167136683151,1,1,1,4.77845718664602,10.44,15825.187438266936,13025.0,1112.108514986385,7453.169922
8,0.9582946776179319,1,1,1,4.76579564239354,10.98,15854.244812487443,11924.8,1118.800610265866,7430.259766
9,0.9588749768811479,1,1,1,4.784528621871616,11.23,15913.419505777769,11368.1,1121.2596264605338,7447.680176
10,0.9677516382387699,1,1,1,4.321470778346138,11.51,16109.30920770558,11686.5,1252.3112959825971,7507.870117
11,0.8504070872573732,1,1,1,4.5075460142188915,11.19,14171.674569190458,11374.2,1360.2668993580194,7488.060059
12,0.8509493526384094,1,1,1,4.527618097783672,11.27,14247.05615486455,10036.4,1362.0699280714225,7561.689941
13,0.851578596664691,1,1,1,4.537107207646331,11.21,14266.978195831769,10792.9,1363.969061480516,7545.5
14,0.8498885147925268,1,1,1,4.553538200181628,11.41,14260.098676340003,9283.5,1369.0976224927467,7434.72998
15,0.8505238712502964,1,1,1,4.567370158700647,11.54,14300.761512770046,9777.4,1374.9609123649661,7494.399902
16,0.8487142293481185,1,1,1,4.585595294866408,11.1,14340.259499956841,10594.8,1383.477846906561,7490.319824
17,0.8301531650524262,1,1,1,4.621482355314171,11.09,14030.408424975334,10544.6,1422.3165890762543,7569.029785
18,0.831224852244262,1,1,1,4.622286689725552,11.09,14086.413670459377,10754.4,1430.5978414622411,7531.069824
19,0.8198070944078838,1,1,1,4.643511434778988,10.48,13905.072400056528,10727.8,1457.9541799855426,7548.75
20,0.820605762197236,1,1,1,4.641618803247366,10.01,13971.197135216615,10326.5,1474.4797957366115,7563.189941
