day,ZUSD,USD,USDT,USD,DUET,ADUET,ZBTC,BTC,ZNAS,NAS
1,0.9541608207250748,1,1,1,5.081896239662567,11.41,15707.046910335,11829.6,989.1524926326749,7570.25
2,0.9558042276189433,1,1,1,5.108416240002894,11.85,15799.2712713006,11226.0,996.8104425619425,7660.180176
3,0.9732714736168545,1,1,1,4.386546507632966,11.8,16088.001693189424,11332.7,1170.0859288536249,7642.669922
4,0.9746107714506747,1,1,1,4.4008385142645725,11.43,16125.610151607129,11167.4,1183.0149187380296,7654.549805
5,0.9551145868965393,1,1,1,4.281465945980494,11.34,15860.407267173747,11384.4,1269.1070831961777,7622.319824
6,0.861818158308464,1,1,1,4.450366064217432,10.56,14433.909055559672,12622.1,1338.989233611955,7523.259766
7,0.8589716906432697,1,1,1,4.423469707078147,10.44,14443.775825772413,13025.0,1399.0726086349982,7453.169922
8,0.8378432597390145,1,1,1,4.491029914266108,10.98,14106.120298489092,11924.8,1431.7084355543507,7430.259766
9,0.8545110799361628,1,1,1,4.1069916164955425,11.23,14404.81636581658,11368.1,1630.746440774871,7447.680176
10,0.8572665800046062,1,1,1,3.897277364142623,11.51,14514.558939013043,11686.5,1779.9437273840686,7507.870117
11,0.8502498529471809,1,1,1,3.85607955930961,11.19,14401.128264598246,11374.2,1876.6587637418704,7488.060059
12,0.8450393704299325,1,1,1,3.892860973782758,11.27,14430.00723947836,10036.4,1890.1354455311543,7561.689941
13,0.856518669062389,1,1,1,3.6945414356666113,11.21,14672.037911896783,10792.9,2057.5542296460385,7545.5
14,0.8554227997467607,1,1,1,3.5561145048681033,11.41,14659.953198612897,9283.5,2260.129649904877,7434.72998
15,0.8520597681658569,1,1,1,3.4766985165549786,11.54,14750.251802717836,9777.4,2420.6710862833443,7494.399902
16,0.8505236769870583,1,1,1,3.516468865628109,11.1,14678.365146797945,10594.8,2457.354005755384,7490.319824
17,0.8497688560410741,1,1,1,3.523308642392652,11.09,14705.74744640344,10544.6,2530.4303276800943,7569.029785
18,0.8490158698760778,1,1,1,3.5664859701775278,11.09,14889.385890293182,10754.4,2549.6326875203813,7531.069824
19,0.8634742101204392,1,1,1,3.3670906693155733,10.48,15177.636632426884,10727.8,2796.4476198153693,7548.75
20,0.8672715644109406,1,1,1,3.3191325823626485,10.01,15334.867104032784,10326.5,2888.251754956243,7563.189941
21,0.862429990937362,1,1,1,3.356605606018823,9.86,15114.291023313088,9647.7,2932.3288283010065,7563.089844
22,0.8622078016783163,1,1,1,3.358517157751412,9.91,15113.612570832029,10127.0,2984.815242512592,7629.569824
23,0.8606526518315364,1,1,1,3.3674256192252803,10.65,14988.576914319001,9756.4,3016.4098455870608,7627.649902
24,0.8663708554096234,1,1,1,3.2959039108742108,8.72,15097.589814242285,10156.1,3125.421055642606,7645.450195
25,0.8642962523551331,1,1,1,3.3084399622356386,8.0,14818.36999624597,9485.7,3160.1781803740996,7628.279785
26,0.8652762417888689,1,1,1,3.290017696074954,8.14,14795.64670624687,9774.8,3231.2292732387286,7637.430176
27,0.8695630705639906,1,1,1,3.2481987633794445,8.19,14973.266654769493,9544.6,3364.7919689577593,7490.0
28,0.8678413181410185,1,1,1,3.2862515703355664,8.33,14897.619040506095,9678.3,3413.1855359528536,7399.009766
29,0.8676505816399924,1,1,1,3.2970573487177126,8.51,14796.711320421091,10010.7,3441.510543935696,7352.819824
30,0.866662364698863,1,1,1,3.2770882547337687,7.74,14634.705388180359,10385.5,3539.250367167127,7371.620117
31,0.8650052866255606,1,1,1,3.2368336413496634,8.0,14522.699250633517,10775.8,3553.4593531775,7044.5
32,0.8663943821770939,1,1,1,3.104705050304372,8.14,14442.284971657546,10845.5,3631.6462295058095,6964.029785
33,0.8662591690668102,1,1,1,3.130745563690511,8.42,14579.743374197602,11389.1,3681.0498925945144,7157.209961
34,0.8671347661172987,1,1,1,3.1324921697812194,8.25,14819.073235037647,11601.4,3762.6072959250255,7068.669922
35,0.864974587462224,1,1,1,3.159031631722723,8.25,14570.430954137308,11786.2,3754.330972375952,7276.430176
36,0.8644307537416154,1,1,1,3.1979239297615836,8.12,14538.999158628354,11391.0,3782.4319412489385,7278.629883
37,0.8666714185353183,1,1,1,3.1933044252974043,8.09,14416.562817673348,11354.6,3848.144809879897,7116.089844
38,0.8717723078560083,1,1,1,3.163465789907949,7.93,14537.674746764607,10640.9,3938.7673922050662,7107.22998
