env,DuetHolder,DAssetHolder,Bullisher,Bearisher,Spread,Fitness,loss1,loss2,loss3,exp_id
3,0.7155965337442812,0.8166062252100293,0.17678448706063432,0.5133889319295311,1,1,12014.34705501078,11881.534568410287,132.8124866004931,1,b42afd3ed24843a0a0e84945e29049fc
3,0.7155965337442812,0.03358710302412349,0.17678448706063432,0.5146892798177792,1,2,6096.1775347566545,5974.113659290808,122.0638754658464,1,e424acfcf33143a4938d5cd689826157
3,0.7155965337442812,0.9122311550513823,0.17678448706063432,0.8792409195920422,1,3,12222.941065140702,11923.634203098276,299.30686204242534,1,4eb5611a80f0469eb0a2c5f09252e936
3,0.7155965337442812,0.8166062252100293,0.33942282259679646,0.5146892798177792,1,4,11580.17844491502,11271.793854355794,308.38459055922675,1,a86ffbcd4c3b46a7b80485be8f4ad4ed
3,0.7155965337442812,0.9122311550513823,0.32783907355352593,0.5133889319295311,1,2,11982.301100010343,11659.376708657332,322.92439135301146,1,98887bbcd76e47478547014ddf777e18
3,0.7155965337442812,0.9122311550513823,0.17678448706063432,0.5133889319295311,1,2,11737.574991336873,11503.49310237938,234.0818889574927,1,de25b22746b34b79a93aac2d123a1d4a
3,0.7155965337442812,0.9122311550513823,0.6552054343901431,0.5133889319295311,1,2,12315.090402148835,11832.306598110215,482.78380403861996,1,5265b2139d21467a9597a15b1d4a6d84
3,0.7155965337442812,0.9122311550513823,0.17678448706063432,0.5146892798177792,1,4,11478.97513880208,11329.989394209182,148.98574459289674,1,59b7eed986a54c3f96f6b72ba01d0e32
3,0.8365596358728137,0.9122311550513823,0.6552054343901431,0.8792409195920422,1,4,11877.04861832138,11812.81904699681,64.22957132457,1,6c7bf1627ff94588a24c269b115cb420
2,0.7155965337442812,0.9122311550513823,0.17678448706063432,0.5133889319295311,1,2,11866.888580853483,11713.932529054597,152.95605179888693,1,bee2b06c83654608b702b38d8640c562
